CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
687760177,06/16/2018,19:40:00,06/16/2018,19:45:00,45,06/16/2018,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,BRONX,INSIDE,CANDY STORE,N.Y. POLICE DEPT,0,,,,1027124,244933,18-24,BLACK HISPANIC,M,,40.838863936000045,-73.84505557599994,"(40.838863936, -73.845055576)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,D
704790437,07/13/2016,01:00:00,07/13/2016,01:11:00,44,07/13/2016,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,BRONX,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,0,,,NA,1007138,245060,,,,,40.839286927,-73.917284131,"(40.839286927, -73.917284131)",PATROL BORO BRONX,,18-24,UNKNOWN,M
104580039,02/21/2019,12:58:00,,,19,02/21/2019,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,MANHATTAN,INSIDE,CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,0,,,,995985,219739,UNKNOWN,BLACK,M,,40.76980960700007,-73.95763536199998,"(40.76980960700007, -73.95763536199998)",PATROL BORO MAN NORTH,,UNKNOWN,UNKNOWN,D
813501865,09/29/2018,05:10:00,09/29/2018,05:19:00,104,09/29/2018,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,QUEENS,INSIDE,GAS STATION,N.Y. POLICE DEPT,0,,,,1017628,195071,45-64,BLACK,F,,40.70204686900007,-73.87962153299998,"(40.702046869, -73.879621533)",PATROL BORO QUEENS NORTH,,UNKNOWN,UNKNOWN,D
153044114,09/30/2018,14:30:00,09/30/2018,14:40:00,113,09/30/2018,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,QUEENS,INSIDE,DRUG STORE,N.Y. POLICE DEPT,0,,,,1045365,191284,UNKNOWN,BLACK,M,,40.69150437500008,-73.77962093799994,"(40.691504375, -73.779620938)",PATROL BORO QUEENS SOUTH,,UNKNOWN,UNKNOWN,D
173805342,06/22/2018,16:20:00,06/22/2018,16:50:00,20,06/22/2018,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,MANHATTAN,INSIDE,DRUG STORE,N.Y. POLICE DEPT,0,,,,988032,222449,25-44,BLACK,M,,40.777254828000025,-73.98634602199996,"(40.777254828, -73.986346022)",PATROL BORO MAN NORTH,,UNKNOWN,UNKNOWN,D
677571449,02/15/2018,19:55:00,02/15/2018,20:00:00,7,02/16/2018,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,MANHATTAN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,0,,,,987173,200182,18-24,WHITE HISPANIC,F,,40.71613781900004,-73.98945723299995,"(40.716137819, -73.989457233)",PATROL BORO MAN SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,M
284769640,01/31/2018,22:00:00,01/31/2018,22:02:00,110,01/31/2018,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,QUEENS,INSIDE,LIQUOR STORE,N.Y. POLICE DEPT,0,,,,1014294,211348,25-44,WHITE HISPANIC,M,,40.74673520700002,-73.89157314499994,"(40.746735207, -73.891573145)",PATROL BORO QUEENS NORTH,,UNKNOWN,UNKNOWN,D
460065608,03/28/2018,10:40:00,03/28/2018,10:45:00,52,03/28/2018,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,BRONX,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,,,,1012887,253829,25-44,WHITE HISPANIC,F,,40.86333844800004,-73.89646978499997,"(40.863338448, -73.896469785)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,D
827348991,03/15/2018,19:30:00,03/15/2018,19:40:00,75,03/16/2018,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,BROOKLYN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,,,,1020709,178933,18-24,BLACK,M,,40.65773960300004,-73.86859703099998,"(40.657739603, -73.868597031)",PATROL BORO BKLYN NORTH,,UNKNOWN,UNKNOWN,D
